id,agency,complaint,descriptor,street,borough
40711666,Department of Health and Mental Hygiene,Rodent,Mouse Sighting,NICHOLAS AVENUE,STATEN ISLAND
40711479,Department of Health and Mental Hygiene,Rodent,Rat Sighting,CRESCENT STREET,BROOKLYN
40711390,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,86 STREET,QUEENS
40710605,Department of Health and Mental Hygiene,Rodent,Rat Sighting,CYPRESS AVENUE,BRONX
40709766,Department of Health and Mental Hygiene,Rodent,Rat Sighting,65 STREET,BROOKLYN
40709759,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,SURF AVENUE,BROOKLYN
40709674,Department of Health and Mental Hygiene,Rodent,Rat Sighting,21 AVENUE,BROOKLYN
40709586,Department of Health and Mental Hygiene,Rodent,Rat Sighting,WEST 109 STREET,MANHATTAN
40709032,Department of Health and Mental Hygiene,Rodent,Mouse Sighting,114 DRIVE,QUEENS
40709031,Department of Health and Mental Hygiene,Rodent,Mouse Sighting,SUMPTER STREET,BROOKLYN
40708991,Department of Health and Mental Hygiene,Rodent,Mouse Sighting,34 AVENUE,QUEENS
40708931,Department of Health and Mental Hygiene,Rodent,Mouse Sighting,EAST 152 STREET,BRONX
40708930,Department of Health and Mental Hygiene,Rodent,Mouse Sighting,28 STREET,QUEENS
40708929,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,EAST 241 STREET,BRONX
40708750,Department of Health and Mental Hygiene,Rodent,Rat Sighting,WEST 112 STREET,MANHATTAN
40708630,Department of Health and Mental Hygiene,Rodent,Rat Sighting,FOSTER AVENUE,BROOKLYN
40708623,Department of Health and Mental Hygiene,Rodent,Signs of Rodents,WEST 116 STREET,MANHATTAN
40708456,Department of Health and Mental Hygiene,Rodent,Signs of Rodents,51 ROAD,QUEENS
40708455,Department of Health and Mental Hygiene,Rodent,Signs of Rodents,FOSTER AVENUE,BROOKLYN
40708151,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,WHITEPLAINS ROAD,BRONX
40708033,Department of Health and Mental Hygiene,Rodent,Mouse Sighting,FOSTER AVENUE,BROOKLYN
40707994,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,EAST 88 STREET,BROOKLYN
40707935,Department of Health and Mental Hygiene,Rodent,Rat Sighting,5 AVENUE,MANHATTAN
40707931,Department of Health and Mental Hygiene,Rodent,Rat Sighting,PARADE PLACE,BROOKLYN
40707930,Department of Health and Mental Hygiene,Rodent,Rat Sighting,PINEHURST AVENUE,MANHATTAN
40707881,Department of Health and Mental Hygiene,Unsanitary Animal Pvt Property,Dog,MAPLE STREET,BROOKLYN
40707758,Department of Health and Mental Hygiene,Rodent,Signs of Rodents,7 AVENUE,BROOKLYN
40707697,Department of Health and Mental Hygiene,Rodent,Signs of Rodents,PALISADE AVENUE,BRONX
40707004,Department of Health and Mental Hygiene,Rodent,Rat Sighting,GLEBE AVENUE,BRONX
40707002,Department of Health and Mental Hygiene,Rodent,Rat Sighting,PULASKI STREET,BROOKLYN
40706969,Department of Health and Mental Hygiene,Rodent,Rat Sighting,EAST 5 STREET,BROOKLYN
40706265,Department of Health and Mental Hygiene,Unsanitary Animal Pvt Property,Other Animal,CALDWELL AVENUE,QUEENS
40706016,Department of Health and Mental Hygiene,Rodent,Rat Sighting,164 STREET,QUEENS
40705885,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,SANFORD STREET,BROOKLYN
40702755,Department of Health and Mental Hygiene,Rodent,Mouse Sighting,WADSWORTH AVENUE,MANHATTAN
40702507,Department of Health and Mental Hygiene,Rodent,Rat Sighting,OLINVILLE AVENUE,BRONX
40701622,Department of Health and Mental Hygiene,Rodent,Mouse Sighting,CENTRAL PARK SOUTH,MANHATTAN
40714913,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,ASTORIA BOULEVARD,QUEENS
40711203,Department of Health and Mental Hygiene,Food Poisoning,1 or 2,WEST KINGSBDGE ROAD,BRONX
40701004,Department of Health and Mental Hygiene,Food Poisoning,1 or 2,QUEENS BOULEVARD,QUEENS
40714724,Department of Health and Mental Hygiene,Food Poisoning,1 or 2,,BROOKLYN
40714166,Department of Health and Mental Hygiene,Food Poisoning,1 or 2,ROOSEVELT AVENUE,QUEENS
40711962,Department of Health and Mental Hygiene,Food Poisoning,3 or More,ROOSEVELT AVENUE,QUEENS
40708144,Department of Health and Mental Hygiene,Standing Water,Other - Explain Below,8 AVENUE,MANHATTAN
40708102,Department of Health and Mental Hygiene,Food Poisoning,3 or More,UNION TNPK,QUEENS
40695599,New York City Police Department,Noise - Residential,Loud Music/Party,97 STREET,QUEENS
40699034,New York City Police Department,Blocked Driveway,No Access,CHURCH AVENUE,BROOKLYN
40705730,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,12 STREET,BROOKLYN
40703806,New York City Police Department,Noise - Residential,Banging/Pounding,FIFTH AVENUE,MANHATTAN
40705311,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,WEST 134 STREET,MANHATTAN
40708213,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),GREENWICH STREET,MANHATTAN
40709181,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,EAST   10 STREET,MANHATTAN
40705189,New York City Police Department,Noise - Commercial,Loud Music/Party,4 AVENUE,BROOKLYN
40705117,New York City Police Department,Illegal Parking,Blocked Hydrant,EAST 131 STREET,MANHATTAN
40701245,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,RIDGE BOULEVARD,BROOKLYN
40696716,New York City Police Department,Noise - Residential,Loud Music/Party,RIDGE BOULEVARD,BROOKLYN
40699932,Department of Sanitation,Request Large Bulky Item Collection,Request Large Bulky Item Collection,GRAND AVENUE,BROOKLYN
40711947,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,WEST   51 STREET,MANHATTAN
40696491,New York City Police Department,Noise - Commercial,Loud Talking,LUDLOW STREET,MANHATTAN
40711192,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,BROOKLYN
40696597,New York City Police Department,Blocked Driveway,No Access,BEDELL STREET,QUEENS
40700115,New York City Police Department,Noise - Residential,Banging/Pounding,39 AVENUE,QUEENS
40705419,New York City Police Department,Blocked Driveway,No Access,CONGRESS STREET,BROOKLYN
40706777,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),WEST  132 STREET,MANHATTAN
40714530,BCC - Queens West,Derelict Vehicles,14 Derelict Vehicles,13 STREET,QUEENS
40703650,New York City Police Department,Noise - Residential,Banging/Pounding,SAND STREET,BROOKLYN
40703693,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,OCEAN PARKWAY,BROOKLYN
40702444,New York City Police Department,Noise - Residential,Loud Music/Party,WEST 162 STREET,MANHATTAN
40701364,New York City Police Department,Noise - Residential,Loud Music/Party,,BROOKLYN
40702657,New York City Police Department,Noise - Residential,Loud Music/Party,WEST 191 STREET,MANHATTAN
40702236,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,127 STREET,QUEENS
40698773,New York City Police Department,Illegal Parking,Commercial Overnight Parking,MONROE STREET,BROOKLYN
40711698,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),WILLIAM STREET,MANHATTAN
40705271,Department of Sanitation,Request Large Bulky Item Collection,Request Large Bulky Item Collection,MAPLE STREET,BROOKLYN
40703933,New York City Police Department,Noise - Residential,Loud Talking,YORK AVENUE,MANHATTAN
40703488,New York City Police Department,Noise - Residential,Loud Television,PARKHILL AVENUE,STATEN ISLAND
40699868,New York City Police Department,Illegal Parking,Commercial Overnight Parking,63 ROAD,QUEENS
40699862,New York City Police Department,Illegal Parking,Commercial Overnight Parking,WAKEMAN PLACE,BROOKLYN
40702464,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,CHRISTOPHER STREET,MANHATTAN
40713222,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,TELLER AVENUE,BRONX
40701679,New York City Police Department,Noise - Residential,Loud Music/Party,97 STREET,QUEENS
40708429,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,HIGHLAND PLACE,BROOKLYN
40708146,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),WILLIAM STREET,MANHATTAN
40696404,New York City Police Department,Noise - Residential,Loud Music/Party,WEST 162 STREET,MANHATTAN
40698761,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,CHRISTOPHER STREET,MANHATTAN
40714024,BCC - Brooklyn South,Sanitation Condition,12 Dead Animals,60 STREET,BROOKLYN
40702815,New York City Police Department,Blocked Driveway,No Access,EAST 21 STREET,BROOKLYN
40699919,New York City Police Department,Illegal Parking,Blocked Hydrant,57 STREET,BROOKLYN
40700259,New York City Police Department,Noise - Residential,Loud Talking,CATON AVENUE,BROOKLYN
40713608,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),WEST   38 STREET,MANHATTAN
40708376,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,WYCKOFF STREET,BROOKLYN
40703295,Department of Health and Mental Hygiene,Food Establishment,Odor,EAST 45 STREET,MANHATTAN
40702474,New York City Police Department,Blocked Driveway,No Access,45 STREET,BROOKLYN
40701558,New York City Police Department,Noise - Commercial,Loud Music/Party,BELL BOULEVARD,QUEENS
40703745,New York City Police Department,Illegal Parking,Commercial Overnight Parking,63 PLACE,QUEENS
40701101,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,,QUEENS
40704244,Department of Transportation,Street Light Condition,Street Light Out,,BRONX
40714746,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,CLAY AVENUE,BRONX
40699951,New York City Police Department,Illegal Parking,Commercial Overnight Parking,TYNAN STREET,STATEN ISLAND
40701066,New York City Police Department,Illegal Parking,Blocked Hydrant,70 STREET,QUEENS
40699931,Department of Sanitation,Request Large Bulky Item Collection,Request Large Bulky Item Collection,SENECA AVENUE,QUEENS
40699992,New York City Police Department,Illegal Parking,Blocked Hydrant,BROADWAY,BRONX
40697841,New York City Police Department,Blocked Driveway,No Access,THOMAS BOYLAND STREET,BROOKLYN
40697581,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,CHRISTOPHER STREET,MANHATTAN
40697532,Department of Sanitation,Request Large Bulky Item Collection,Request Large Bulky Item Collection,STARR STREET,BROOKLYN
40701199,New York City Police Department,Noise - Residential,Banging/Pounding,WEST 188 STREET,MANHATTAN
40714134,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,LINDEN BOULEVARD,BROOKLYN
40701664,New York City Police Department,Blocked Driveway,Partial Access,AVENUE T,BROOKLYN
40699684,Department of Transportation,Traffic Signal Condition,Controller,,BRONX
40705358,New York City Police Department,Noise - Commercial,Loud Talking,BROADWAY,MANHATTAN
40713200,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,QUEENS
40714078,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),ASTORIA BOULEVARD,QUEENS
40699943,New York City Police Department,Noise - Residential,Banging/Pounding,ROCKAWAY BEACH BOULEVARD,QUEENS
40695553,New York City Police Department,Noise - Residential,Loud Music/Party,,BROOKLYN
40697709,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,BRYANT AVENUE,BRONX
40695488,New York City Police Department,Animal Abuse,Other (complaint details),EAST 7 STREET,BROOKLYN
40698664,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,46 STREET,BROOKLYN
40701107,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,,QUEENS
40709825,Department of Environmental Protection,Water System,No Water (WNW),DEAN STREET,BROOKLYN
40699961,New York City Police Department,Illegal Parking,Overnight Commercial Storage,,STATEN ISLAND
40702672,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,CHRISTOPHER STREET,MANHATTAN
40702460,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,WEST 188 STREET,MANHATTAN
40712950,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,ARDEN STREET,MANHATTAN
40703561,New York City Police Department,Illegal Parking,Blocked Hydrant,BAY 46 STREET,BROOKLYN
40705390,Department of Transportation,Street Condition,Pothole,,MANHATTAN
40702948,New York City Police Department,Noise - Residential,Loud Talking,WADSWORTH AVENUE,MANHATTAN
40702563,New York City Police Department,Blocked Driveway,No Access,WOODHAVEN BOULEVARD,QUEENS
40702181,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,EAST 28 STREET,BROOKLYN
40704765,Taxi and Limousine Commission,Taxi Complaint,Driver Complaint,,BROOKLYN
40704960,New York City Police Department,Illegal Parking,Blocked Hydrant,MCKINLEY AVENUE,BROOKLYN
40696490,New York City Police Department,Noise - Commercial,Loud Music/Party,ST MARKS PLACE,MANHATTAN
40700260,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,,BROOKLYN
40703922,New York City Police Department,Noise - Residential,Banging/Pounding,POPHAM AVENUE,BRONX
40701368,New York City Police Department,Noise - Residential,Loud Music/Party,EAST 224 STREET,BRONX
40700986,New York City Police Department,Noise - Commercial,Loud Music/Party,WEST BROADWAY,MANHATTAN
40706800,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),83 STREET,BROOKLYN
40702833,New York City Police Department,Blocked Driveway,No Access,87 ROAD,QUEENS
40705679,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,MANHATTAN
40708410,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,EAST   27 STREET,MANHATTAN
40710840,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,MANHATTAN
40703906,Department of Transportation,Street Light Condition,Street Light Out,TENBROECK AVENUE,BRONX
40704570,Department of Transportation,Highway Condition,Cave-in,,Unspecified
40704423,New York City Police Department,Noise - Vehicle,Engine Idling,WEST 74 STREET,MANHATTAN
40700064,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,WEST 158 STREET,MANHATTAN
40697863,New York City Police Department,Blocked Driveway,No Access,LENOX ROAD,BROOKLYN
40702234,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,EAST 161 STREET,BRONX
40712965,Department of Housing Preservation and Development,PAINT/PLASTER,WALL,BRIGHTWATER COURT,BROOKLYN
40708475,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,BRIGHTWATER COURT,BROOKLYN
40699664,Department of Transportation,Traffic Signal Condition,Controller,,BRONX
40703076,Department of Transportation,Traffic Signal Condition,Ped Multiple Lamps,,BROOKLYN
40702666,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,CHRISTOPHER STREET,MANHATTAN
40698198,New York City Police Department,Noise - Residential,Banging/Pounding,EAST 12 STREET,MANHATTAN
40709132,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,MANHATTAN
40705709,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,WEST  181 STREET,MANHATTAN
40702752,New York City Police Department,Blocked Driveway,Partial Access,COOPER AVENUE,QUEENS
40699934,New York City Police Department,Noise - Residential,Banging/Pounding,OCEAN AVENUE,BROOKLYN
40714754,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,BROADWAY,MANHATTAN
40709433,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,CENTRAL PARK SOUTH,MANHATTAN
40699014,New York City Police Department,Noise - Commercial,Loud Music/Party,UNIVERSITY AVENUE,BRONX
40702873,New York City Police Department,Blocked Driveway,No Access,69 PLACE,QUEENS
40700294,Department of Transportation,Street Condition,Pothole,,BROOKLYN
40703937,New York City Police Department,Noise - Residential,Loud Music/Party,EAST 54 STREET,MANHATTAN
40696450,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,CHRISTOPHER STREET,MANHATTAN
40696343,Department of Transportation,Street Light Condition,Fixture/Luminaire Missing,,BROOKLYN
40700543,New York City Police Department,Noise - Vehicle,Engine Idling,FORT HAMILTON PARKWAY,BROOKLYN
40696493,New York City Police Department,Noise - Commercial,Loud Music/Party,LUDLOW STREET,MANHATTAN
40695600,New York City Police Department,Noise - Residential,Loud Music/Party,COOPER STREET,BROOKLYN
40714401,BCC - Brooklyn South,Derelict Vehicles,14 Derelict Vehicles,,BROOKLYN
40702779,Department of Transportation,Street Condition,Pothole,,BROOKLYN
40703796,New York City Police Department,Noise - Residential,Banging/Pounding,HOWARD AVENUE,BROOKLYN
40711944,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,PAYSON AVENUE,MANHATTAN
40701365,New York City Police Department,Noise - Residential,Loud Music/Party,EAST 54 STREET,MANHATTAN
40696448,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,,MANHATTAN
40698117,Department of Transportation,Sidewalk Condition,Broken Sidewalk,,BROOKLYN
40698733,New York City Police Department,Noise - Residential,Loud Music/Party,LONGFELLOW AVENUE,BRONX
40715131,Department of Transportation,Street Condition,Pothole,EAST DRIVE,MANHATTAN
40706686,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,DECATUR AVENUE,BRONX
40710995,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,BRITTON AVENUE,QUEENS
40714361,Department of Transportation,Traffic Signal Condition,Pedestrian Signal,,BRONX
40700212,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,60 ROAD,QUEENS
40713488,Department of Housing Preservation and Development,ELECTRIC,OUTLET/SWITCH,BAILEY AVENUE,BRONX
40712004,Department of Housing Preservation and Development,PLUMBING,BATHTUB/SHOWER,BAILEY AVENUE,BRONX
40710266,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,BAILEY AVENUE,BRONX
40707797,Department of Housing Preservation and Development,WATER LEAK,SLOW LEAK,BAILEY AVENUE,BRONX
40707301,Department of Housing Preservation and Development,ELECTRIC,OUTLET/SWITCH,BAILEY AVENUE,BRONX
40706722,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,BAILEY AVENUE,BRONX
40709477,Department of Transportation,Traffic Signal Condition,Controller,,MANHATTAN
40701876,Department of Health and Mental Hygiene,Food Establishment,Bare Hands in Contact w/ Food,UNION TURNPIKE,QUEENS
40701801,Department of Transportation,Sidewalk Condition,Broken Sidewalk,,BROOKLYN
40718504,Department of Transportation,Street Condition,Pothole,EAST DRIVE,MANHATTAN
40697427,New York City Police Department,Illegal Parking,Blocked Sidewalk,122 STREET,QUEENS
40701803,Department of Transportation,Sidewalk Condition,Broken Sidewalk,,BROOKLYN
40701684,New York City Police Department,Noise - Vehicle,Car/Truck Horn,164 STREET,QUEENS
40712692,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,EAST  227 STREET,BRONX
40711072,Department of Housing Preservation and Development,PLUMBING,BATHTUB/SHOWER,EAST  227 STREET,BRONX
40709370,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,EAST  227 STREET,BRONX
40708576,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,EAST  227 STREET,BRONX
40699208,New York City Police Department,Noise - Vehicle,Car/Truck Horn,164 STREET,QUEENS
40704986,Department of Parks and Recreation,Animal in a Park,Dog Off Leash,,BROOKLYN
40696759,New York City Police Department,Noise - Vehicle,Car/Truck Horn,164 STREET,QUEENS
40696749,Department of Transportation,Sidewalk Condition,Broken Sidewalk,,BROOKLYN
40708236,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),MOTT STREET,MANHATTAN
40708188,Department of Environmental Protection,Noise,Noise: Alarms (NR3),164 STREET,QUEENS
40712951,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,LEXINGTON AVENUE,MANHATTAN
40708419,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RIVERSIDE DRIVE,MANHATTAN
40702465,New York City Police Department,Illegal Parking,Blocked Hydrant,76 STREET,QUEENS
40697870,New York City Police Department,Blocked Driveway,No Access,STOCKHOLM STREET,BROOKLYN
40700591,New York City Police Department,Blocked Driveway,Partial Access,WHITE PLAINS ROAD,BRONX
40696647,Department of Transportation,Street Condition,Line/Marking - Faded,ATLANTIC AVENUE,Unspecified
40703040,New York City Police Department,Noise - Residential,Loud Music/Party,WEST 113 STREET,MANHATTAN
40696598,New York City Police Department,Blocked Driveway,No Access,JERICHO TURNPIKE,QUEENS
40704859,New York City Police Department,Blocked Driveway,No Access,EAST 229 STREET,BRONX
40697948,New York City Police Department,Illegal Parking,Blocked Bike Lane,MORGAN AVENUE,BROOKLYN
40701263,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,BAINBRIDGE AVENUE,BRONX
40705248,New York City Police Department,Noise - Residential,Loud Talking,6 AVENUE,BROOKLYN
40707514,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,LINDEN BOULEVARD,BROOKLYN
40705726,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,BEACH   29 STREET,QUEENS
40698957,New York City Police Department,Noise - Residential,Loud Music/Party,3 AVENUE,MANHATTAN
40698898,New York City Police Department,Noise - Commercial,Banging/Pounding,EAST 75 STREET,MANHATTAN
40709434,Department of Transportation,Traffic Signal Condition,Controller,,BRONX
40710219,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,195 STREET,QUEENS
40704560,New York City Police Department,Noise - Residential,Banging/Pounding,ISHAM STREET,MANHATTAN
40704055,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,32 STREET,QUEENS
40710103,Department of Environmental Protection,Noise,Noise: Private Carting Noise (NQ1),FORT HAMILTON PARKWAY,BROOKLYN
40714753,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,44 DRIVE,QUEENS
